STEPS	|   PROCESS			|  A	|  B  |
527	|  EMPTYING B 			|  25036	|  0  |
528	|  POURING A TO B 		|  22037	|  2999  |
529	|  EMPTYING B 			|  22037	|  0  |
530	|  POURING A TO B 		|  19038	|  2999  |
531	|  EMPTYING B 			|  19038	|  0  |
532	|  POURING A TO B 		|  16039	|  2999  |
533	|  EMPTYING B 			|  16039	|  0  |
534	|  POURING A TO B 		|  13040	|  2999  |
535	|  EMPTYING B 			|  13040	|  0  |
536	|  POURING A TO B 		|  10041	|  2999  |
537	|  EMPTYING B 			|  10041	|  0  |
538	|  POURING A TO B 		|  7042	|  2999  |
539	|  EMPTYING B 			|  7042	|  0  |
540	|  POURING A TO B 		|  4043	|  2999  |
541	|  EMPTYING B 			|  4043	|  0  |
542	|  POURING A TO B 		|  1044	|  2999  |
543	|  EMPTYING B 			|  1044	|  0  |
544	|  POURING A TO B 		|  0	|  1044  |
545	|  FILLING A FULLY		|  39989	|  1044  |
546	|  POURING A TO B 		|  38034	|  2999  |
547	|  EMPTYING B 			|  38034	|  0  |
548	|  POURING A TO B 		|  35035	|  2999  |
549	|  EMPTYING B 			|  35035	|  0  |
550	|  POURING A TO B 		|  32036	|  2999  |
551	|  EMPTYING B 			|  32036	|  0  |
552	|  POURING A TO B 		|  29037	|  2999  |
553	|  EMPTYING B 			|  29037	|  0  |
554	|  POURING A TO B 		|  26038	|  2999  |
555	|  EMPTYING B 			|  26038	|  0  |
556	|  POURING A TO B 		|  23039	|  2999  |
557	|  EMPTYING B 			|  23039	|  0  |
558	|  POURING A TO B 		|  20040	|  2999  |
559	|  EMPTYING B 			|  20040	|  0  |
560	|  POURING A TO B 		|  17041	|  2999  |
561	|  EMPTYING B 			|  17041	|  0  |
562	|  POURING A TO B 		|  14042	|  2999  |
563	|  EMPTYING B 			|  14042	|  0  |
