STEPS	|   PROCESS			|  A	|  B  |
564	|  POURING A TO B 		|  11043	|  2999  |
565	|  EMPTYING B 			|  11043	|  0  |
566	|  POURING A TO B 		|  8044	|  2999  |
567	|  EMPTYING B 			|  8044	|  0  |
568	|  POURING A TO B 		|  5045	|  2999  |
569	|  EMPTYING B 			|  5045	|  0  |
570	|  POURING A TO B 		|  2046	|  2999  |
571	|  EMPTYING B 			|  2046	|  0  |
572	|  POURING A TO B 		|  0	|  2046  |
573	|  FILLING A FULLY		|  39989	|  2046  |
574	|  POURING A TO B 		|  39036	|  2999  |
575	|  EMPTYING B 			|  39036	|  0  |
576	|  POURING A TO B 		|  36037	|  2999  |
577	|  EMPTYING B 			|  36037	|  0  |
578	|  POURING A TO B 		|  33038	|  2999  |
579	|  EMPTYING B 			|  33038	|  0  |
580	|  POURING A TO B 		|  30039	|  2999  |
581	|  EMPTYING B 			|  30039	|  0  |
582	|  POURING A TO B 		|  27040	|  2999  |
583	|  EMPTYING B 			|  27040	|  0  |
584	|  POURING A TO B 		|  24041	|  2999  |
585	|  EMPTYING B 			|  24041	|  0  |
586	|  POURING A TO B 		|  21042	|  2999  |
587	|  EMPTYING B 			|  21042	|  0  |
588	|  POURING A TO B 		|  18043	|  2999  |
589	|  EMPTYING B 			|  18043	|  0  |
590	|  POURING A TO B 		|  15044	|  2999  |
591	|  EMPTYING B 			|  15044	|  0  |
592	|  POURING A TO B 		|  12045	|  2999  |
593	|  EMPTYING B 			|  12045	|  0  |
594	|  POURING A TO B 		|  9046	|  2999  |
595	|  EMPTYING B 			|  9046	|  0  |
596	|  POURING A TO B 		|  6047	|  2999  |
597	|  EMPTYING B 			|  6047	|  0  |
598	|  POURING A TO B 		|  3048	|  2999  |
599	|  EMPTYING B 			|  3048	|  0  |
600	|  POURING A TO B 		|  49	|  2999  |
601	|  EMPTYING B 			|  49	|  0  |
602	|  POURING A TO B 		|  0	|  49  |
603	|  FILLING A FULLY		|  39989	|  49  |
604	|  POURING A TO B 		|  37039	|  2999  |
605	|  EMPTYING B 			|  37039	|  0  |
606	|  POURING A TO B 		|  34040	|  2999  |
607	|  EMPTYING B 			|  34040	|  0  |
608	|  POURING A TO B 		|  31041	|  2999  |
609	|  EMPTYING B 			|  31041	|  0  |
610	|  POURING A TO B 		|  28042	|  2999  |
611	|  EMPTYING B 			|  28042	|  0  |
612	|  POURING A TO B 		|  25043	|  2999  |
613	|  EMPTYING B 			|  25043	|  0  |
614	|  POURING A TO B 		|  22044	|  2999  |
615	|  EMPTYING B 			|  22044	|  0  |
616	|  POURING A TO B 		|  19045	|  2999  |
617	|  EMPTYING B 			|  19045	|  0  |
618	|  POURING A TO B 		|  16046	|  2999  |
619	|  EMPTYING B 			|  16046	|  0  |
620	|  POURING A TO B 		|  13047	|  2999  |
621	|  EMPTYING B 			|  13047	|  0  |
622	|  POURING A TO B 		|  10048	|  2999  |
623	|  EMPTYING B 			|  10048	|  0  |
624	|  POURING A TO B 		|  7049	|  2999  |
625	|  EMPTYING B 			|  7049	|  0  |
626	|  POURING A TO B 		|  4050	|  2999  |
627	|  EMPTYING B 			|  4050	|  0  |
628	|  POURING A TO B 		|  1051	|  2999  |
629	|  EMPTYING B 			|  1051	|  0  |
630	|  POURING A TO B 		|  0	|  1051  |
631	|  FILLING A FULLY		|  39989	|  1051  |
632	|  POURING A TO B 		|  38041	|  2999  |
633	|  EMPTYING B 			|  38041	|  0  |
634	|  POURING A TO B 		|  35042	|  2999  |
635	|  EMPTYING B 			|  35042	|  0  |
636	|  POURING A TO B 		|  32043	|  2999  |
637	|  EMPTYING B 			|  32043	|  0  |
638	|  POURING A TO B 		|  29044	|  2999  |
639	|  EMPTYING B 			|  29044	|  0  |
640	|  POURING A TO B 		|  26045	|  2999  |
641	|  EMPTYING B 			|  26045	|  0  |
642	|  POURING A TO B 		|  23046	|  2999  |
643	|  EMPTYING B 			|  23046	|  0  |
644	|  POURING A TO B 		|  20047	|  2999  |
645	|  EMPTYING B 			|  20047	|  0  |
646	|  POURING A TO B 		|  17048	|  2999  |
647	|  EMPTYING B 			|  17048	|  0  |
648	|  POURING A TO B 		|  14049	|  2999  |
649	|  EMPTYING B 			|  14049	|  0  |
650	|  POURING A TO B 		|  11050	|  2999  |
651	|  EMPTYING B 			|  11050	|  0  |
652	|  POURING A TO B 		|  8051	|  2999  |
653	|  EMPTYING B 			|  8051	|  0  |
654	|  POURING A TO B 		|  5052	|  2999  |
655	|  EMPTYING B 			|  5052	|  0  |
656	|  POURING A TO B 		|  2053	|  2999  |
657	|  EMPTYING B 			|  2053	|  0  |
658	|  POURING A TO B 		|  0	|  2053  |
659	|  FILLING A FULLY		|  39989	|  2053  |
660	|  POURING A TO B 		|  39043	|  2999  |
661	|  EMPTYING B 			|  39043	|  0  |
662	|  POURING A TO B 		|  36044	|  2999  |
663	|  EMPTYING B 			|  36044	|  0  |
664	|  POURING A TO B 		|  33045	|  2999  |
665	|  EMPTYING B 			|  33045	|  0  |
666	|  POURING A TO B 		|  30046	|  2999  |
667	|  EMPTYING B 			|  30046	|  0  |
668	|  POURING A TO B 		|  27047	|  2999  |
669	|  EMPTYING B 			|  27047	|  0  |
670	|  POURING A TO B 		|  24048	|  2999  |
671	|  EMPTYING B 			|  24048	|  0  |
672	|  POURING A TO B 		|  21049	|  2999  |
673	|  EMPTYING B 			|  21049	|  0  |
674	|  POURING A TO B 		|  18050	|  2999  |
675	|  EMPTYING B 			|  18050	|  0  |
676	|  POURING A TO B 		|  15051	|  2999  |
677	|  EMPTYING B 			|  15051	|  0  |
678	|  POURING A TO B 		|  12052	|  2999  |
679	|  EMPTYING B 			|  12052	|  0  |
680	|  POURING A TO B 		|  9053	|  2999  |
681	|  EMPTYING B 			|  9053	|  0  |
682	|  POURING A TO B 		|  6054	|  2999  |
683	|  EMPTYING B 			|  6054	|  0  |
684	|  POURING A TO B 		|  3055	|  2999  |
685	|  EMPTYING B 			|  3055	|  0  |
686	|  POURING A TO B 		|  56	|  2999  |
687	|  EMPTYING B 			|  56	|  0  |
688	|  POURING A TO B 		|  0	|  56  |
689	|  FILLING A FULLY		|  39989	|  56  |
690	|  POURING A TO B 		|  37046	|  2999  |
691	|  EMPTYING B 			|  37046	|  0  |
692	|  POURING A TO B 		|  34047	|  2999  |
693	|  EMPTYING B 			|  34047	|  0  |
694	|  POURING A TO B 		|  31048	|  2999  |
695	|  EMPTYING B 			|  31048	|  0  |
696	|  POURING A TO B 		|  28049	|  2999  |
697	|  EMPTYING B 			|  28049	|  0  |
698	|  POURING A TO B 		|  25050	|  2999  |
699	|  EMPTYING B 			|  25050	|  0  |
700	|  POURING A TO B 		|  22051	|  2999  |
701	|  EMPTYING B 			|  22051	|  0  |
702	|  POURING A TO B 		|  19052	|  2999  |
703	|  EMPTYING B 			|  19052	|  0  |
704	|  POURING A TO B 		|  16053	|  2999  |
705	|  EMPTYING B 			|  16053	|  0  |
706	|  POURING A TO B 		|  13054	|  2999  |
707	|  EMPTYING B 			|  13054	|  0  |
708	|  POURING A TO B 		|  10055	|  2999  |
709	|  EMPTYING B 			|  10055	|  0  |
710	|  POURING A TO B 		|  7056	|  2999  |
711	|  EMPTYING B 			|  7056	|  0  |
712	|  POURING A TO B 		|  4057	|  2999  |
713	|  EMPTYING B 			|  4057	|  0  |
714	|  POURING A TO B 		|  1058	|  2999  |
715	|  EMPTYING B 			|  1058	|  0  |
716	|  POURING A TO B 		|  0	|  1058  |
717	|  FILLING A FULLY		|  39989	|  1058  |
718	|  POURING A TO B 		|  38048	|  2999  |
719	|  EMPTYING B 			|  38048	|  0  |
720	|  POURING A TO B 		|  35049	|  2999  |
721	|  EMPTYING B 			|  35049	|  0  |
722	|  POURING A TO B 		|  32050	|  2999  |
723	|  EMPTYING B 			|  32050	|  0  |
724	|  POURING A TO B 		|  29051	|  2999  |
725	|  EMPTYING B 			|  29051	|  0  |
726	|  POURING A TO B 		|  26052	|  2999  |
727	|  EMPTYING B 			|  26052	|  0  |
728	|  POURING A TO B 		|  23053	|  2999  |
729	|  EMPTYING B 			|  23053	|  0  |
730	|  POURING A TO B 		|  20054	|  2999  |
731	|  EMPTYING B 			|  20054	|  0  |
732	|  POURING A TO B 		|  17055	|  2999  |
733	|  EMPTYING B 			|  17055	|  0  |
734	|  POURING A TO B 		|  14056	|  2999  |
735	|  EMPTYING B 			|  14056	|  0  |
736	|  POURING A TO B 		|  11057	|  2999  |
737	|  EMPTYING B 			|  11057	|  0  |
738	|  POURING A TO B 		|  8058	|  2999  |
739	|  EMPTYING B 			|  8058	|  0  |
740	|  POURING A TO B 		|  5059	|  2999  |
741	|  EMPTYING B 			|  5059	|  0  |
742	|  POURING A TO B 		|  2060	|  2999  |
743	|  EMPTYING B 			|  2060	|  0  |
744	|  POURING A TO B 		|  0	|  2060  |
745	|  FILLING A FULLY		|  39989	|  2060  |
746	|  POURING A TO B 		|  39050	|  2999  |
747	|  EMPTYING B 			|  39050	|  0  |
748	|  POURING A TO B 		|  36051	|  2999  |
749	|  EMPTYING B 			|  36051	|  0  |
750	|  POURING A TO B 		|  33052	|  2999  |
751	|  EMPTYING B 			|  33052	|  0  |
752	|  POURING A TO B 		|  30053	|  2999  |
753	|  EMPTYING B 			|  30053	|  0  |
754	|  POURING A TO B 		|  27054	|  2999  |
755	|  EMPTYING B 			|  27054	|  0  |
756	|  POURING A TO B 		|  24055	|  2999  |
757	|  EMPTYING B 			|  24055	|  0  |
758	|  POURING A TO B 		|  21056	|  2999  |
759	|  EMPTYING B 			|  21056	|  0  |
760	|  POURING A TO B 		|  18057	|  2999  |
761	|  EMPTYING B 			|  18057	|  0  |
762	|  POURING A TO B 		|  15058	|  2999  |
763	|  EMPTYING B 			|  15058	|  0  |
764	|  POURING A TO B 		|  12059	|  2999  |
765	|  EMPTYING B 			|  12059	|  0  |
766	|  POURING A TO B 		|  9060	|  2999  |
767	|  EMPTYING B 			|  9060	|  0  |
768	|  POURING A TO B 		|  6061	|  2999  |
769	|  EMPTYING B 			|  6061	|  0  |
770	|  POURING A TO B 		|  3062	|  2999  |
771	|  EMPTYING B 			|  3062	|  0  |
772	|  POURING A TO B 		|  63	|  2999  |
773	|  EMPTYING B 			|  63	|  0  |
774	|  POURING A TO B 		|  0	|  63  |
775	|  FILLING A FULLY		|  39989	|  63  |
776	|  POURING A TO B 		|  37053	|  2999  |
777	|  EMPTYING B 			|  37053	|  0  |
778	|  POURING A TO B 		|  34054	|  2999  |
779	|  EMPTYING B 			|  34054	|  0  |
780	|  POURING A TO B 		|  31055	|  2999  |
781	|  EMPTYING B 			|  31055	|  0  |
782	|  POURING A TO B 		|  28056	|  2999  |
783	|  EMPTYING B 			|  28056	|  0  |
784	|  POURING A TO B 		|  25057	|  2999  |
785	|  EMPTYING B 			|  25057	|  0  |
786	|  POURING A TO B 		|  22058	|  2999  |
787	|  EMPTYING B 			|  22058	|  0  |
788	|  POURING A TO B 		|  19059	|  2999  |
789	|  EMPTYING B 			|  19059	|  0  |
790	|  POURING A TO B 		|  16060	|  2999  |
791	|  EMPTYING B 			|  16060	|  0  |
792	|  POURING A TO B 		|  13061	|  2999  |
793	|  EMPTYING B 			|  13061	|  0  |
794	|  POURING A TO B 		|  10062	|  2999  |
795	|  EMPTYING B 			|  10062	|  0  |
796	|  POURING A TO B 		|  7063	|  2999  |
797	|  EMPTYING B 			|  7063	|  0  |
798	|  POURING A TO B 		|  4064	|  2999  |
799	|  EMPTYING B 			|  4064	|  0  |
800	|  POURING A TO B 		|  1065	|  2999  |
801	|  EMPTYING B 			|  1065	|  0  |
802	|  POURING A TO B 		|  0	|  1065  |
803	|  FILLING A FULLY		|  39989	|  1065  |
804	|  POURING A TO B 		|  38055	|  2999  |
805	|  EMPTYING B 			|  38055	|  0  |
806	|  POURING A TO B 		|  35056	|  2999  |
807	|  EMPTYING B 			|  35056	|  0  |
808	|  POURING A TO B 		|  32057	|  2999  |
809	|  EMPTYING B 			|  32057	|  0  |
810	|  POURING A TO B 		|  29058	|  2999  |
811	|  EMPTYING B 			|  29058	|  0  |
812	|  POURING A TO B 		|  26059	|  2999  |
813	|  EMPTYING B 			|  26059	|  0  |
814	|  POURING A TO B 		|  23060	|  2999  |
815	|  EMPTYING B 			|  23060	|  0  |
816	|  POURING A TO B 		|  20061	|  2999  |
817	|  EMPTYING B 			|  20061	|  0  |
818	|  POURING A TO B 		|  17062	|  2999  |
819	|  EMPTYING B 			|  17062	|  0  |
820	|  POURING A TO B 		|  14063	|  2999  |
821	|  EMPTYING B 			|  14063	|  0  |
822	|  POURING A TO B 		|  11064	|  2999  |
823	|  EMPTYING B 			|  11064	|  0  |
824	|  POURING A TO B 		|  8065	|  2999  |
825	|  EMPTYING B 			|  8065	|  0  |
826	|  POURING A TO B 		|  5066	|  2999  |
827	|  EMPTYING B 			|  5066	|  0  |
828	|  POURING A TO B 		|  2067	|  2999  |
829	|  EMPTYING B 			|  2067	|  0  |
830	|  POURING A TO B 		|  0	|  2067  |
831	|  FILLING A FULLY		|  39989	|  2067  |
832	|  POURING A TO B 		|  39057	|  2999  |
833	|  EMPTYING B 			|  39057	|  0  |
834	|  POURING A TO B 		|  36058	|  2999  |
835	|  EMPTYING B 			|  36058	|  0  |
836	|  POURING A TO B 		|  33059	|  2999  |
837	|  EMPTYING B 			|  33059	|  0  |
838	|  POURING A TO B 		|  30060	|  2999  |
839	|  EMPTYING B 			|  30060	|  0  |
840	|  POURING A TO B 		|  27061	|  2999  |
841	|  EMPTYING B 			|  27061	|  0  |
842	|  POURING A TO B 		|  24062	|  2999  |
843	|  EMPTYING B 			|  24062	|  0  |
844	|  POURING A TO B 		|  21063	|  2999  |
845	|  EMPTYING B 			|  21063	|  0  |
846	|  POURING A TO B 		|  18064	|  2999  |
847	|  EMPTYING B 			|  18064	|  0  |
848	|  POURING A TO B 		|  15065	|  2999  |
849	|  EMPTYING B 			|  15065	|  0  |
850	|  POURING A TO B 		|  12066	|  2999  |
851	|  EMPTYING B 			|  12066	|  0  |
852	|  POURING A TO B 		|  9067	|  2999  |
853	|  EMPTYING B 			|  9067	|  0  |
854	|  POURING A TO B 		|  6068	|  2999  |
855	|  EMPTYING B 			|  6068	|  0  |
856	|  POURING A TO B 		|  3069	|  2999  |
857	|  EMPTYING B 			|  3069	|  0  |
858	|  POURING A TO B 		|  70	|  2999  |
859	|  EMPTYING B 			|  70	|  0  |
860	|  POURING A TO B 		|  0	|  70  |
861	|  FILLING A FULLY		|  39989	|  70  |
862	|  POURING A TO B 		|  37060	|  2999  |
863	|  EMPTYING B 			|  37060	|  0  |
864	|  POURING A TO B 		|  34061	|  2999  |
865	|  EMPTYING B 			|  34061	|  0  |
866	|  POURING A TO B 		|  31062	|  2999  |
867	|  EMPTYING B 			|  31062	|  0  |
868	|  POURING A TO B 		|  28063	|  2999  |
869	|  EMPTYING B 			|  28063	|  0  |
870	|  POURING A TO B 		|  25064	|  2999  |
871	|  EMPTYING B 			|  25064	|  0  |
872	|  POURING A TO B 		|  22065	|  2999  |
873	|  EMPTYING B 			|  22065	|  0  |
874	|  POURING A TO B 		|  19066	|  2999  |
875	|  EMPTYING B 			|  19066	|  0  |
876	|  POURING A TO B 		|  16067	|  2999  |
877	|  EMPTYING B 			|  16067	|  0  |
878	|  POURING A TO B 		|  13068	|  2999  |
879	|  EMPTYING B 			|  13068	|  0  |
880	|  POURING A TO B 		|  10069	|  2999  |
881	|  EMPTYING B 			|  10069	|  0  |
882	|  POURING A TO B 		|  7070	|  2999  |
883	|  EMPTYING B 			|  7070	|  0  |
884	|  POURING A TO B 		|  4071	|  2999  |
885	|  EMPTYING B 			|  4071	|  0  |
886	|  POURING A TO B 		|  1072	|  2999  |
887	|  EMPTYING B 			|  1072	|  0  |
888	|  POURING A TO B 		|  0	|  1072  |
889	|  FILLING A FULLY		|  39989	|  1072  |
890	|  POURING A TO B 		|  38062	|  2999  |
891	|  EMPTYING B 			|  38062	|  0  |
892	|  POURING A TO B 		|  35063	|  2999  |
893	|  EMPTYING B 			|  35063	|  0  |
894	|  POURING A TO B 		|  32064	|  2999  |
895	|  EMPTYING B 			|  32064	|  0  |
896	|  POURING A TO B 		|  29065	|  2999  |
897	|  EMPTYING B 			|  29065	|  0  |
898	|  POURING A TO B 		|  26066	|  2999  |
899	|  EMPTYING B 			|  26066	|  0  |
900	|  POURING A TO B 		|  23067	|  2999  |
901	|  EMPTYING B 			|  23067	|  0  |
902	|  POURING A TO B 		|  20068	|  2999  |
903	|  EMPTYING B 			|  20068	|  0  |
904	|  POURING A TO B 		|  17069	|  2999  |
905	|  EMPTYING B 			|  17069	|  0  |
906	|  POURING A TO B 		|  14070	|  2999  |
907	|  EMPTYING B 			|  14070	|  0  |
908	|  POURING A TO B 		|  11071	|  2999  |
909	|  EMPTYING B 			|  11071	|  0  |
910	|  POURING A TO B 		|  8072	|  2999  |
911	|  EMPTYING B 			|  8072	|  0  |
912	|  POURING A TO B 		|  5073	|  2999  |
913	|  EMPTYING B 			|  5073	|  0  |
914	|  POURING A TO B 		|  2074	|  2999  |
915	|  EMPTYING B 			|  2074	|  0  |
916	|  POURING A TO B 		|  0	|  2074  |
917	|  FILLING A FULLY		|  39989	|  2074  |
918	|  POURING A TO B 		|  39064	|  2999  |
919	|  EMPTYING B 			|  39064	|  0  |
920	|  POURING A TO B 		|  36065	|  2999  |
921	|  EMPTYING B 			|  36065	|  0  |
922	|  POURING A TO B 		|  33066	|  2999  |
923	|  EMPTYING B 			|  33066	|  0  |
924	|  POURING A TO B 		|  30067	|  2999  |
925	|  EMPTYING B 			|  30067	|  0  |
926	|  POURING A TO B 		|  27068	|  2999  |
927	|  EMPTYING B 			|  27068	|  0  |
928	|  POURING A TO B 		|  24069	|  2999  |
929	|  EMPTYING B 			|  24069	|  0  |
930	|  POURING A TO B 		|  21070	|  2999  |
931	|  EMPTYING B 			|  21070	|  0  |
932	|  POURING A TO B 		|  18071	|  2999  |
933	|  EMPTYING B 			|  18071	|  0  |
934	|  POURING A TO B 		|  15072	|  2999  |
935	|  EMPTYING B 			|  15072	|  0  |
936	|  POURING A TO B 		|  12073	|  2999  |
937	|  EMPTYING B 			|  12073	|  0  |
938	|  POURING A TO B 		|  9074	|  2999  |
939	|  EMPTYING B 			|  9074	|  0  |
940	|  POURING A TO B 		|  6075	|  2999  |
941	|  EMPTYING B 			|  6075	|  0  |
942	|  POURING A TO B 		|  3076	|  2999  |
943	|  EMPTYING B 			|  3076	|  0  |
944	|  POURING A TO B 		|  77	|  2999  |
945	|  EMPTYING B 			|  77	|  0  |
946	|  POURING A TO B 		|  0	|  77  |
947	|  FILLING A FULLY		|  39989	|  77  |
948	|  POURING A TO B 		|  37067	|  2999  |
949	|  EMPTYING B 			|  37067	|  0  |
950	|  POURING A TO B 		|  34068	|  2999  |
951	|  EMPTYING B 			|  34068	|  0  |
952	|  POURING A TO B 		|  31069	|  2999  |
953	|  EMPTYING B 			|  31069	|  0  |
954	|  POURING A TO B 		|  28070	|  2999  |
955	|  EMPTYING B 			|  28070	|  0  |
956	|  POURING A TO B 		|  25071	|  2999  |
957	|  EMPTYING B 			|  25071	|  0  |
958	|  POURING A TO B 		|  22072	|  2999  |
959	|  EMPTYING B 			|  22072	|  0  |
960	|  POURING A TO B 		|  19073	|  2999  |
961	|  EMPTYING B 			|  19073	|  0  |
962	|  POURING A TO B 		|  16074	|  2999  |
963	|  EMPTYING B 			|  16074	|  0  |
964	|  POURING A TO B 		|  13075	|  2999  |
965	|  EMPTYING B 			|  13075	|  0  |
966	|  POURING A TO B 		|  10076	|  2999  |
967	|  EMPTYING B 			|  10076	|  0  |
968	|  POURING A TO B 		|  7077	|  2999  |
969	|  EMPTYING B 			|  7077	|  0  |
970	|  POURING A TO B 		|  4078	|  2999  |
971	|  EMPTYING B 			|  4078	|  0  |
972	|  POURING A TO B 		|  1079	|  2999  |
973	|  EMPTYING B 			|  1079	|  0  |
974	|  POURING A TO B 		|  0	|  1079  |
975	|  FILLING A FULLY		|  39989	|  1079  |
976	|  POURING A TO B 		|  38069	|  2999  |
977	|  EMPTYING B 			|  38069	|  0  |
978	|  POURING A TO B 		|  35070	|  2999  |
979	|  EMPTYING B 			|  35070	|  0  |
980	|  POURING A TO B 		|  32071	|  2999  |
981	|  EMPTYING B 			|  32071	|  0  |
982	|  POURING A TO B 		|  29072	|  2999  |
983	|  EMPTYING B 			|  29072	|  0  |
984	|  POURING A TO B 		|  26073	|  2999  |
985	|  EMPTYING B 			|  26073	|  0  |
986	|  POURING A TO B 		|  23074	|  2999  |
987	|  EMPTYING B 			|  23074	|  0  |
988	|  POURING A TO B 		|  20075	|  2999  |
989	|  EMPTYING B 			|  20075	|  0  |
990	|  POURING A TO B 		|  17076	|  2999  |
991	|  EMPTYING B 			|  17076	|  0  |
992	|  POURING A TO B 		|  14077	|  2999  |
993	|  EMPTYING B 			|  14077	|  0  |
994	|  POURING A TO B 		|  11078	|  2999  |
995	|  EMPTYING B 			|  11078	|  0  |
996	|  POURING A TO B 		|  8079	|  2999  |
997	|  EMPTYING B 			|  8079	|  0  |
998	|  POURING A TO B 		|  5080	|  2999  |
999	|  EMPTYING B 			|  5080	|  0  |
1000	|  POURING A TO B 		|  2081	|  2999  |
1001	|  EMPTYING B 			|  2081	|  0  |
1002	|  POURING A TO B 		|  0	|  2081  |
1003	|  FILLING A FULLY		|  39989	|  2081  |
1004	|  POURING A TO B 		|  39071	|  2999  |
1005	|  EMPTYING B 			|  39071	|  0  |
1006	|  POURING A TO B 		|  36072	|  2999  |
1007	|  EMPTYING B 			|  36072	|  0  |
1008	|  POURING A TO B 		|  33073	|  2999  |
1009	|  EMPTYING B 			|  33073	|  0  |
1010	|  POURING A TO B 		|  30074	|  2999  |
1011	|  EMPTYING B 			|  30074	|  0  |
1012	|  POURING A TO B 		|  27075	|  2999  |
1013	|  EMPTYING B 			|  27075	|  0  |
1014	|  POURING A TO B 		|  24076	|  2999  |
1015	|  EMPTYING B 			|  24076	|  0  |
1016	|  POURING A TO B 		|  21077	|  2999  |
1017	|  EMPTYING B 			|  21077	|  0  |
1018	|  POURING A TO B 		|  18078	|  2999  |
1019	|  EMPTYING B 			|  18078	|  0  |
1020	|  POURING A TO B 		|  15079	|  2999  |
1021	|  EMPTYING B 			|  15079	|  0  |
1022	|  POURING A TO B 		|  12080	|  2999  |
1023	|  EMPTYING B 			|  12080	|  0  |
1024	|  POURING A TO B 		|  9081	|  2999  |
1025	|  EMPTYING B 			|  9081	|  0  |
1026	|  POURING A TO B 		|  6082	|  2999  |
1027	|  EMPTYING B 			|  6082	|  0  |
1028	|  POURING A TO B 		|  3083	|  2999  |
1029	|  EMPTYING B 			|  3083	|  0  |
1030	|  POURING A TO B 		|  84	|  2999  |
1031	|  EMPTYING B 			|  84	|  0  |
1032	|  POURING A TO B 		|  0	|  84  |
1033	|  FILLING A FULLY		|  39989	|  84  |
1034	|  POURING A TO B 		|  37074	|  2999  |
1035	|  EMPTYING B 			|  37074	|  0  |
1036	|  POURING A TO B 		|  34075	|  2999  |
1037	|  EMPTYING B 			|  34075	|  0  |
1038	|  POURING A TO B 		|  31076	|  2999  |
1039	|  EMPTYING B 			|  31076	|  0  |
1040	|  POURING A TO B 		|  28077	|  2999  |
1041	|  EMPTYING B 			|  28077	|  0  |
1042	|  POURING A TO B 		|  25078	|  2999  |
1043	|  EMPTYING B 			|  25078	|  0  |
1044	|  POURING A TO B 		|  22079	|  2999  |
1045	|  EMPTYING B 			|  22079	|  0  |
1046	|  POURING A TO B 		|  19080	|  2999  |
1047	|  EMPTYING B 			|  19080	|  0  |
1048	|  POURING A TO B 		|  16081	|  2999  |
1049	|  EMPTYING B 			|  16081	|  0  |
1050	|  POURING A TO B 		|  13082	|  2999  |
1051	|  EMPTYING B 			|  13082	|  0  |
1052	|  POURING A TO B 		|  10083	|  2999  |
1053	|  EMPTYING B 			|  10083	|  0  |
1054	|  POURING A TO B 		|  7084	|  2999  |
1055	|  EMPTYING B 			|  7084	|  0  |
1056	|  POURING A TO B 		|  4085	|  2999  |
1057	|  EMPTYING B 			|  4085	|  0  |
1058	|  POURING A TO B 		|  1086	|  2999  |
1059	|  EMPTYING B 			|  1086	|  0  |
1060	|  POURING A TO B 		|  0	|  1086  |
1061	|  FILLING A FULLY		|  39989	|  1086  |
1062	|  POURING A TO B 		|  38076	|  2999  |
1063	|  EMPTYING B 			|  38076	|  0  |
1064	|  POURING A TO B 		|  35077	|  2999  |
1065	|  EMPTYING B 			|  35077	|  0  |
1066	|  POURING A TO B 		|  32078	|  2999  |
1067	|  EMPTYING B 			|  32078	|  0  |
1068	|  POURING A TO B 		|  29079	|  2999  |
1069	|  EMPTYING B 			|  29079	|  0  |
1070	|  POURING A TO B 		|  26080	|  2999  |
1071	|  EMPTYING B 			|  26080	|  0  |
1072	|  POURING A TO B 		|  23081	|  2999  |
1073	|  EMPTYING B 			|  23081	|  0  |
1074	|  POURING A TO B 		|  20082	|  2999  |
